customer_id,plan,usage,payments,support_tickets,months_active,failed_payments,nps_score,discount_percent,churned
CUST-00001,Pro,125.99,40,1,38,0,10.0,0,0
CUST-00002,Basic,38.86,26,2,35,1,2.6,10,1
CUST-00003,Enterprise,141.35,28,0,27,0,7.9,0,0
CUST-00004,Pro,114.09,32,2,42,0,8.5,0,0
CUST-00005,Basic,29.3,6,2,7,1,6.5,0,0
CUST-00006,Enterprise,175.75,37,0,44,0,10.0,5,0
CUST-00007,Pro,109.12,33,2,40,0,8.6,0,0
CUST-00008,Pro,145.21,25,1,24,1,8.0,0,0
CUST-00009,Basic,72.32,26,1,35,0,7.2,10,0
CUST-00010,Pro,112.99,26,2,25,1,7.3,0,0
CUST-00011,Basic,52.69,11,1,13,1,9.1,0,0
CUST-00012,Enterprise,201.43,35,2,38,1,7.6,0,0
CUST-00013,Pro,74.58,12,4,12,0,6.9,0,0
CUST-00014,Pro,43.71,11,4,15,0,6.9,0,1
CUST-00015,Basic,40.51,26,3,25,0,9.5,0,0
CUST-00016,Basic,76.41,36,1,40,0,7.6,5,0
CUST-00017,Pro,75.64,18,0,19,0,10.0,0,0
CUST-00018,Basic,44.23,18,1,24,0,9.7,5,0
CUST-00019,Pro,60.95,2,2,2,0,7.5,0,0
CUST-00020,Pro,99.64,6,4,6,0,7.0,0,0
CUST-00021,Pro,87.79,3,2,3,0,7.4,0,0
CUST-00022,Basic,38.93,3,2,4,0,6.9,0,1
CUST-00023,Enterprise,193.09,32,0,41,0,10.0,0,0
CUST-00024,Enterprise,175.93,40,2,40,0,9.4,0,0
CUST-00025,Pro,105.86,28,4,39,0,7.8,10,0
CUST-00026,Basic,9.37,3,0,3,1,5.3,10,0
CUST-00027,Pro,31.44,4,4,4,1,4.4,0,1
CUST-00028,Basic,36.7,10,3,14,0,10.0,5,0
CUST-00029,Basic,49.33,20,4,27,1,5.9,5,0
CUST-00030,Pro,101.17,15,5,16,0,5.8,10,0
CUST-00031,Pro,118.38,17,3,23,0,10.0,0,0
CUST-00032,Enterprise,176.96,8,2,9,0,9.5,0,0
CUST-00033,Basic,37.14,33,2,35,0,8.2,0,0
CUST-00034,Basic,28.56,14,3,15,1,6.1,0,0
CUST-00035,Pro,79.45,3,4,4,1,6.1,0,1
CUST-00036,Basic,96.27,33,4,35,1,6.5,10,0
CUST-00037,Basic,86.74,39,3,43,0,5.3,10,1
CUST-00038,Pro,92.65,1,2,1,0,7.8,0,0
CUST-00039,Basic,28.92,19,5,21,2,5.6,0,1
CUST-00040,Pro,88.6,39,3,39,0,10.0,0,0
CUST-00041,Basic,68.4,32,2,34,0,7.8,0,0
CUST-00042,Pro,88.69,35,2,41,0,4.2,5,0
CUST-00043,Pro,85.31,16,2,20,0,7.7,0,0
CUST-00044,Basic,37.73,13,2,18,0,10.0,10,0
CUST-00045,Pro,128.67,27,3,34,0,9.4,20,0
CUST-00046,Pro,72.42,6,2,8,0,6.4,5,0
CUST-00047,Basic,1.0,13,1,12,0,8.1,5,1
CUST-00048,Basic,54.38,23,4,29,0,5.6,0,0
CUST-00049,Pro,90.02,32,1,32,0,6.1,0,0
CUST-00050,Basic,20.97,5,6,6,0,5.1,0,0
CUST-00051,Basic,45.84,19,1,24,1,7.4,5,0
CUST-00052,Basic,37.07,15,1,18,0,4.6,0,0
CUST-00053,Pro,105.23,20,3,24,0,5.9,10,0
CUST-00054,Pro,87.61,45,1,46,0,8.3,0,0
CUST-00055,Pro,61.49,4,4,4,0,6.2,0,1
CUST-00056,Pro,124.01,47,3,47,1,8.1,0,0
CUST-00057,Pro,78.15,17,3,22,0,5.5,20,0
CUST-00058,Pro,75.94,36,2,37,0,8.9,0,0
CUST-00059,Basic,53.63,15,2,20,0,5.6,0,0
CUST-00060,Basic,50.72,15,5,15,0,9.0,0,0
CUST-00061,Pro,106.29,33,1,37,2,4.7,5,0
CUST-00062,Pro,59.4,27,5,33,0,4.7,20,1
CUST-00063,Pro,90.61,5,2,7,1,8.1,0,0
CUST-00064,Pro,72.32,24,2,34,1,9.9,10,0
CUST-00065,Pro,109.56,28,2,36,0,8.7,0,0
CUST-00066,Pro,74.93,19,1,19,0,9.0,5,0
CUST-00067,Pro,94.72,43,0,44,0,8.7,0,0
CUST-00068,Basic,43.55,32,2,31,1,5.2,0,0
CUST-00069,Basic,32.5,12,3,16,0,6.1,5,0
CUST-00070,Basic,8.5,1,4,1,0,4.3,0,1
CUST-00071,Basic,63.0,25,2,32,1,5.0,0,0
CUST-00072,Basic,28.97,9,0,10,1,8.0,10,1
CUST-00073,Enterprise,192.84,29,1,36,0,7.8,20,0
CUST-00074,Basic,48.96,20,3,25,0,7.6,0,1
CUST-00075,Basic,28.64,20,3,22,0,4.7,5,0
CUST-00076,Basic,15.21,6,2,8,2,6.5,10,1
CUST-00077,Basic,26.75,29,1,34,0,6.7,0,0
CUST-00078,Pro,84.03,7,2,8,0,10.0,10,0
CUST-00079,Pro,78.82,15,4,20,0,7.6,0,0
CUST-00080,Pro,60.5,41,4,40,0,8.8,10,0
CUST-00081,Pro,101.56,39,2,44,0,6.9,0,0
CUST-00082,Basic,40.88,46,6,47,0,6.0,0,1
CUST-00083,Pro,136.96,43,4,46,1,5.7,0,0
CUST-00084,Basic,12.85,26,4,27,1,5.1,0,1
CUST-00085,Basic,6.66,10,2,10,2,5.5,10,0
CUST-00086,Basic,81.78,40,1,40,0,7.0,20,0
CUST-00087,Pro,128.02,35,3,38,0,6.1,0,0
CUST-00088,Pro,102.69,37,1,47,0,6.2,0,0
CUST-00089,Basic,35.72,23,4,31,1,2.3,0,1
CUST-00090,Pro,91.19,6,1,7,0,6.6,0,0
CUST-00091,Basic,1.11,17,3,24,1,7.0,0,1
CUST-00092,Pro,53.5,17,4,22,0,4.2,10,1
CUST-00093,Basic,52.35,29,3,40,1,4.4,10,0
CUST-00094,Basic,70.8,17,1,19,1,10.0,0,0
CUST-00095,Basic,25.76,12,4,16,0,5.4,0,0
CUST-00096,Pro,74.82,4,3,4,0,7.9,5,1
CUST-00097,Basic,80.01,39,2,40,0,8.8,0,0
CUST-00098,Basic,80.72,36,8,36,0,6.8,0,0
CUST-00099,Basic,15.02,2,2,2,1,4.1,0,1
CUST-00100,Enterprise,163.6,19,0,21,0,9.2,0,0
CUST-00101,Enterprise,196.3,21,1,23,0,7.0,0,0
CUST-00102,Pro,62.7,20,3,23,1,10.0,10,1
CUST-00103,Basic,86.1,41,0,44,1,5.5,0,0
CUST-00104,Enterprise,131.67,6,1,8,0,7.1,5,0
CUST-00105,Pro,86.94,16,2,15,0,6.2,0,0
CUST-00106,Pro,77.53,7,1,9,1,5.2,10,0
CUST-00107,Basic,17.16,12,2,12,0,9.2,0,1
CUST-00108,Basic,40.2,39,4,43,0,10.0,0,0
CUST-00109,Basic,69.08,35,2,45,0,6.9,0,0
CUST-00110,Enterprise,161.22,3,2,3,0,6.7,0,0
CUST-00111,Pro,96.26,22,2,30,0,4.4,0,0
CUST-00112,Basic,25.96,11,6,11,0,5.3,10,1
CUST-00113,Basic,45.08,9,1,10,0,7.2,0,0
CUST-00114,Pro,64.51,10,3,14,1,5.7,0,0
CUST-00115,Basic,50.31,7,0,10,1,8.0,0,1
CUST-00116,Enterprise,179.15,23,1,24,0,10.0,10,0
CUST-00117,Pro,156.37,38,4,47,1,8.1,10,0
CUST-00118,Pro,85.63,28,4,28,0,6.7,5,0
CUST-00119,Basic,48.15,33,1,34,2,5.0,5,0
CUST-00120,Pro,109.24,23,1,24,1,9.1,5,0
CUST-00121,Pro,91.64,1,0,1,1,8.2,5,0
CUST-00122,Pro,69.97,4,0,4,0,9.8,0,0
CUST-00123,Basic,32.44,13,0,13,1,8.7,5,0
CUST-00124,Basic,44.14,9,2,12,0,5.1,10,0
CUST-00125,Basic,44.7,33,2,40,0,5.1,0,1
CUST-00126,Pro,98.01,31,3,40,0,6.5,5,0
CUST-00127,Basic,64.31,34,1,41,0,6.3,0,0
CUST-00128,Basic,68.53,29,2,30,1,8.4,0,0
CUST-00129,Basic,32.62,23,4,27,0,7.1,0,0
CUST-00130,Pro,68.54,28,1,31,0,9.8,5,1
CUST-00131,Basic,9.3,16,1,20,0,7.9,10,0
