customer_id,plan,internet_service,payment_method,usage,payments,support_tickets,months_active,paperless_billing,senior_citizen,churned
7590-VHVEG,Month-to-month,DSL,Electronic check,29.8500,29.8500,3,1,1,0,0
5575-GNVDE,One year,DSL,Mailed check,56.9500,1889.5000,1,34,0,0,0
3668-QPYBK,Month-to-month,DSL,Mailed check,53.8500,108.1500,2,2,1,0,1
7795-CFOCW,One year,DSL,Bank transfer (automatic),42.3000,1840.7500,0,45,0,0,0
9237-HQITU,Month-to-month,Fiber optic,Electronic check,70.7000,151.6500,3,2,1,0,1
9305-CDSKC,Month-to-month,Fiber optic,Electronic check,99.6500,820.5000,2,8,1,0,1
1452-KIOVK,Month-to-month,Fiber optic,Credit card (automatic),89.1000,1949.4000,3,22,1,0,0
6713-OKOMC,Month-to-month,DSL,Mailed check,29.7500,301.9000,2,10,0,0,0
7892-POOKP,Month-to-month,Fiber optic,Electronic check,104.8000,3046.0500,1,28,1,0,1
6388-TABGU,One year,DSL,Bank transfer (automatic),56.1500,3487.9500,2,62,0,0,0
9763-GRSKD,Month-to-month,DSL,Mailed check,49.9500,587.4500,2,13,1,0,0
7469-LKBCI,Two year,No,Credit card (automatic),18.9500,326.8000,0,16,0,0,0
8091-TTVAX,One year,Fiber optic,Credit card (automatic),100.3500,5681.1000,2,58,0,0,0
0280-XJGEX,Month-to-month,Fiber optic,Bank transfer (automatic),103.7000,5036.3000,2,49,1,0,1
5129-JLPIS,Month-to-month,Fiber optic,Electronic check,105.5000,2686.0500,0,25,1,0,0
3655-SNQYZ,Two year,Fiber optic,Credit card (automatic),113.2500,7895.1500,0,69,0,0,0
8191-XWSZG,One year,No,Mailed check,20.6500,1022.9500,0,52,0,0,0
9959-WOFKT,Two year,Fiber optic,Bank transfer (automatic),106.7000,7382.2500,1,71,0,0,0
4190-MFLUW,Month-to-month,DSL,Credit card (automatic),55.2000,528.3500,1,10,0,0,1
4183-MYFRB,Month-to-month,Fiber optic,Electronic check,90.0500,1862.9000,2,21,1,0,0
8779-QRDMV,Month-to-month,DSL,Electronic check,39.6500,39.6500,2,1,1,1,1
1680-VDCWW,One year,No,Bank transfer (automatic),19.8000,202.2500,0,12,0,0,0
1066-JKSGK,Month-to-month,No,Mailed check,20.1500,20.1500,0,1,0,0,1
3638-WEABW,Two year,DSL,Credit card (automatic),59.9000,3505.1000,2,58,1,0,0
6322-HRPFA,Month-to-month,DSL,Credit card (automatic),59.6000,2970.3000,1,49,0,0,0
6865-JZNKO,Month-to-month,DSL,Bank transfer (automatic),55.3000,1530.6000,2,30,1,0,0
6467-CHFZW,Month-to-month,Fiber optic,Electronic check,99.3500,4749.1500,3,47,1,0,1
8665-UTDHZ,Month-to-month,DSL,Electronic check,30.2000,30.2000,3,1,0,0,1
5248-YGIJN,Two year,DSL,Credit card (automatic),90.2500,6369.4500,0,72,1,0,0
8773-HHUOZ,Month-to-month,DSL,Mailed check,64.7000,1093.1000,3,17,1,0,1
3841-NFECX,Two year,Fiber optic,Credit card (automatic),96.3500,6766.9500,0,71,1,1,0
4929-XIHVW,Month-to-month,Fiber optic,Credit card (automatic),95.5000,181.6500,2,2,1,1,0
6827-IEAUQ,One year,DSL,Mailed check,66.1500,1874.4500,0,27,0,0,0
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),20.2000,20.2000,0,1,0,0,0
3413-BMNZE,Month-to-month,DSL,Bank transfer (automatic),45.2500,45.2500,3,1,0,1,0
6234-RAAPL,Two year,Fiber optic,Bank transfer (automatic),99.9000,7251.7000,1,72,0,0,0
6047-YHPVI,Month-to-month,Fiber optic,Electronic check,69.7000,316.9000,3,5,1,0,1
6572-ADKRS,Month-to-month,Fiber optic,Credit card (automatic),74.8000,3548.3000,2,46,1,0,0
5380-WJKOV,Month-to-month,Fiber optic,Electronic check,106.3500,3549.2500,2,34,1,0,1
8168-UQWWF,Month-to-month,Fiber optic,Bank transfer (automatic),97.8500,1105.4000,2,11,1,0,1
8865-TNMNX,One year,DSL,Mailed check,49.5500,475.7000,3,10,0,0,0
9489-DEDVP,Two year,DSL,Credit card (automatic),69.2000,4872.3500,2,70,1,0,0
9867-JCZSP,One year,No,Mailed check,20.7500,418.2500,0,17,0,0,0
4671-VJLCL,Two year,DSL,Credit card (automatic),79.8500,4861.4500,0,63,1,0,0
4080-IIARD,Month-to-month,DSL,Electronic check,76.2000,981.4500,1,13,1,0,0
3714-NTNFO,Month-to-month,Fiber optic,Electronic check,84.5000,3906.7000,3,49,1,0,0
5948-UJZLF,Month-to-month,DSL,Mailed check,49.2500,97.0000,3,2,0,0,0
7760-OYPDY,Month-to-month,Fiber optic,Electronic check,80.6500,144.1500,3,2,1,0,1
7639-LIAYI,Two year,DSL,Credit card (automatic),79.7500,4217.8000,1,52,1,0,0
2954-PIBKO,Two year,DSL,Credit card (automatic),64.1500,4254.1000,0,69,1,0,0
8012-SOUDQ,Month-to-month,Fiber optic,Electronic check,90.2500,3838.7500,3,43,1,1,0
9420-LOJKX,Month-to-month,Fiber optic,Credit card (automatic),99.1000,1426.4000,2,15,1,0,1
6575-SUVOI,Month-to-month,DSL,Credit card (automatic),69.5000,1752.6500,1,25,1,1,0
7495-OOKFY,Month-to-month,Fiber optic,Credit card (automatic),80.6500,633.3000,3,8,1,1,1
4667-QONEA,One year,DSL,Credit card (automatic),74.8500,4456.3500,0,60,1,1,0
1658-BYGOY,Month-to-month,Fiber optic,Electronic check,95.4500,1752.5500,3,18,1,1,1
8769-KKTPH,One year,Fiber optic,Credit card (automatic),99.6500,6311.2000,2,63,1,0,0
5067-XJQFU,One year,Fiber optic,Electronic check,108.4500,7076.3500,1,66,1,1,0
3957-SQXML,Two year,No,Credit card (automatic),24.9500,894.3000,0,34,0,0,0
5954-BDFSG,Two year,Fiber optic,Credit card (automatic),107.5000,7853.7000,1,72,1,0,0
0434-CSFON,Month-to-month,Fiber optic,Electronic check,100.5000,4707.1000,2,47,1,0,0
1215-FIGMP,Month-to-month,Fiber optic,Bank transfer (automatic),89.9000,5450.7000,3,60,1,0,0
0526-SXDJP,Two year,DSL,Bank transfer (automatic),42.1000,2962.0000,1,72,0,0,0
0557-ASKVU,One year,DSL,Credit card (automatic),54.4000,957.1000,1,18,1,0,0
5698-BQJOH,Month-to-month,Fiber optic,Electronic check,94.4000,857.2500,3,9,0,0,1
5122-CYFXA,Month-to-month,DSL,Electronic check,75.3000,244.1000,2,3,1,0,0
8627-ZYGSZ,One year,Fiber optic,Electronic check,78.9000,3650.3500,3,47,1,0,0
3410-YOQBQ,Two year,DSL,Mailed check,79.2000,2497.2000,1,31,0,0,0
3170-NMYVV,Two year,No,Bank transfer (automatic),20.1500,930.9000,0,50,0,0,0
7410-OIEDU,Month-to-month,Fiber optic,Mailed check,79.8500,887.3500,1,10,1,0,0
2273-QCKXA,Month-to-month,DSL,Mailed check,49.0500,49.0500,2,1,0,0,0
0731-EBJQB,One year,No,Electronic check,20.4000,1090.6500,0,52,1,0,0
1891-QRQSA,Two year,Fiber optic,Bank transfer (automatic),111.6000,7099.0000,0,64,1,1,0
8028-PNXHQ,Two year,No,Bank transfer (automatic),24.2500,1424.6000,0,62,1,0,0
5630-AHZIL,Month-to-month,DSL,Bank transfer (automatic),64.5000,177.4000,1,3,1,0,0
2673-CXQEU,One year,Fiber optic,Electronic check,110.5000,6139.5000,1,56,0,1,0
6416-JNVRK,One year,DSL,Credit card (automatic),55.6500,2688.8500,3,46,0,0,0
5590-ZSKRV,Month-to-month,DSL,Mailed check,54.6500,482.2500,2,8,0,0,0
0191-ZHSKZ,Month-to-month,DSL,Electronic check,74.7500,2111.3000,2,30,1,1,0
3887-PBQAO,One year,No,Credit card (automatic),25.9000,1216.6000,0,45,1,0,0
5919-TMRGD,Month-to-month,Fiber optic,Electronic check,79.3500,79.3500,3,1,1,0,1
