feature,importance,direction
categorical__plan_Month-to-month,0.4229,model_importance
numeric__support_tickets,0.1275,model_importance
categorical__internet_service_Fiber optic,0.1117,model_importance
categorical__payment_method_Electronic check,0.0729,model_importance
numeric__months_active,0.0517,model_importance
categorical__internet_service_No,0.0398,model_importance
categorical__plan_Two year,0.0359,model_importance
numeric__paperless_billing,0.0312,model_importance
categorical__plan_One year,0.0299,model_importance
numeric__usage,0.0215,model_importance
numeric__payments,0.0170,model_importance
categorical__internet_service_DSL,0.0147,model_importance
numeric__senior_citizen,0.0146,model_importance
categorical__payment_method_Mailed check,0.0073,model_importance
categorical__payment_method_Credit card (automatic),0.0010,model_importance
categorical__payment_method_Bank transfer (automatic),0.0004,model_importance
