feature,mean_abs_shap,mean_signed_shap,direction
categorical__plan_Month-to-month,0.5612,-0.0673,pushes_churn_down
numeric__months_active,0.4283,-0.1548,pushes_churn_down
numeric__support_tickets,0.3388,-0.1266,pushes_churn_down
numeric__usage,0.2762,-0.0631,pushes_churn_down
categorical__internet_service_Fiber optic,0.2675,-0.0254,pushes_churn_down
categorical__payment_method_Electronic check,0.1607,-0.0492,pushes_churn_down
numeric__paperless_billing,0.1600,-0.0248,pushes_churn_down
categorical__plan_Two year,0.1399,-0.0633,pushes_churn_down
numeric__payments,0.1190,-0.0452,pushes_churn_down
categorical__internet_service_No,0.0325,-0.0119,pushes_churn_down
categorical__plan_One year,0.0317,-0.0123,pushes_churn_down
numeric__senior_citizen,0.0298,-0.0071,pushes_churn_down
categorical__internet_service_DSL,0.0020,-0.0008,pushes_churn_down
categorical__payment_method_Mailed check,0.0014,-0.0005,pushes_churn_down
categorical__payment_method_Credit card (automatic),0.0007,0.0000,pushes_churn_up
categorical__payment_method_Bank transfer (automatic),0.0002,0.0001,pushes_churn_up
