feature,importance,direction
categorical__plan_Month-to-month,0.5494,model_importance
categorical__internet_service_Fiber optic,0.1439,model_importance
numeric__support_tickets,0.0696,model_importance
categorical__payment_method_Electronic check,0.0495,model_importance
numeric__months_active,0.0338,model_importance
categorical__plan_Two year,0.0315,model_importance
numeric__paperless_billing,0.0220,model_importance
categorical__plan_One year,0.0169,model_importance
categorical__internet_service_No,0.0164,model_importance
numeric__usage,0.0145,model_importance
numeric__payments,0.0128,model_importance
categorical__internet_service_DSL,0.0118,model_importance
numeric__senior_citizen,0.0097,model_importance
categorical__payment_method_Mailed check,0.0075,model_importance
categorical__payment_method_Bank transfer (automatic),0.0054,model_importance
categorical__payment_method_Credit card (automatic),0.0053,model_importance
