decile,customers,churners,churn_rate,avg_churn_probability,cumulative_churners,cumulative_churn_capture_rate
1,50,45,0.9,0.7376280426979065,45,0.391304347826087
2,50,29,0.58,0.493008017539978,74,0.6434782608695652
3,50,19,0.38,0.3146039843559265,93,0.808695652173913
4,50,9,0.18,0.20795999467372894,102,0.8869565217391304
5,50,5,0.1,0.15535598993301392,107,0.9304347826086956
6,50,3,0.06,0.1103619933128357,110,0.9565217391304348
7,50,2,0.04,0.08113400638103485,112,0.9739130434782609
8,50,1,0.02,0.05721399933099747,113,0.9826086956521739
9,50,0,0.0,0.03859800100326538,113,0.9826086956521739
10,50,2,0.04,0.023584000766277313,115,1.0
