customer_id,risk_segment,churn_probability,likely_drivers,recommended_action,retention_priority
7590-VHVEG,medium,0.6823999881744385,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
5575-GNVDE,low,0.044199999421834946,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
3668-QPYBK,medium,0.5095999836921692,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
7795-CFOCW,low,0.039799999445676804,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
9237-HQITU,medium,0.6535000205039978,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9305-CDSKC,high,0.8277000188827515,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
1452-KIOVK,medium,0.47519999742507935,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
6713-OKOMC,low,0.22509999573230743,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7892-POOKP,medium,0.557699978351593,"plan, support_tickets",Send targeted intervention before renewal risk increases. Suggested playbook: Review whether this plan tier matches the customer's actual usage pattern.,2
6388-TABGU,low,0.046799998730421066,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9763-GRSKD,low,0.23190000653266907,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7469-LKBCI,low,0.010200000368058681,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
8091-TTVAX,low,0.1266999989748001,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
0280-XJGEX,medium,0.40610000491142273,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5129-JLPIS,medium,0.5163999795913696,"plan, support_tickets",Send targeted intervention before renewal risk increases. Suggested playbook: Review whether this plan tier matches the customer's actual usage pattern.,2
3655-SNQYZ,low,0.07850000262260437,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
8191-XWSZG,low,0.024800000712275505,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9959-WOFKT,low,0.07440000027418137,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
4190-MFLUW,low,0.14890000224113464,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4183-MYFRB,medium,0.5307999849319458,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
8779-QRDMV,high,0.7573999762535095,"usage, support_tickets, payments","Contact within 48 hours. Primary playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",1
1680-VDCWW,low,0.043800000101327896,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
1066-JKSGK,low,0.3102000057697296,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3638-WEABW,low,0.03420000150799751,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6322-HRPFA,low,0.1006999984383583,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
6865-JZNKO,low,0.16099999845027924,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6467-CHFZW,medium,0.5640000104904175,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
8665-UTDHZ,medium,0.6008999943733215,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
5248-YGIJN,low,0.009100000374019146,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
8773-HHUOZ,low,0.23270000517368317,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3841-NFECX,low,0.02500000037252903,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
4929-XIHVW,high,0.7142000198364258,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
6827-IEAUQ,low,0.03689999878406525,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
7310-EGVHZ,low,0.27239999175071716,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3413-BMNZE,medium,0.6407999992370605,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
6234-RAAPL,low,0.017799999564886093,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
6047-YHPVI,medium,0.5956000089645386,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
6572-ADKRS,low,0.24220000207424164,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
5380-WJKOV,medium,0.5077999830245972,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
8168-UQWWF,high,0.7278000116348267,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
8865-TNMNX,low,0.120899997651577,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9489-DEDVP,low,0.03739999979734421,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9867-JCZSP,low,0.03610000014305115,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4671-VJLCL,low,0.018799999728798866,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
4080-IIARD,low,0.227400004863739,payments,Monitor monthly and reinforce the strongest positive behavior: payments.,3
3714-NTNFO,medium,0.45399999618530273,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5948-UJZLF,medium,0.45680001378059387,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
7760-OYPDY,high,0.7272999882698059,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
7639-LIAYI,low,0.030400000512599945,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
2954-PIBKO,low,0.014100000262260437,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
8012-SOUDQ,medium,0.49000000953674316,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9420-LOJKX,medium,0.6287999749183655,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
6575-SUVOI,low,0.14589999616146088,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
7495-OOKFY,high,0.7020000219345093,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
4667-QONEA,low,0.042899999767541885,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
1658-BYGOY,medium,0.6496000289916992,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
8769-KKTPH,low,0.17409999668598175,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
5067-XJQFU,low,0.28519999980926514,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
3957-SQXML,low,0.014700000174343586,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
5954-BDFSG,low,0.0357000008225441,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
0434-CSFON,medium,0.5041000247001648,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
1215-FIGMP,low,0.25870001316070557,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
0526-SXDJP,low,0.010099999606609344,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
0557-ASKVU,low,0.09350000321865082,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
5698-BQJOH,medium,0.6848999857902527,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5122-CYFXA,medium,0.5090000033378601,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
8627-ZYGSZ,low,0.2029000073671341,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
3410-YOQBQ,low,0.028599999845027924,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
3170-NMYVV,low,0.013399999588727951,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7410-OIEDU,medium,0.46889999508857727,payments,"Send targeted intervention before renewal risk increases. Suggested playbook: Review billing friction, failed payments, discounts, or plan-fit issues.",2
2273-QCKXA,medium,0.4275999963283539,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
0731-EBJQB,low,0.0333000011742115,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
1891-QRQSA,low,0.09220000356435776,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
8028-PNXHQ,low,0.010599999688565731,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
5630-AHZIL,low,0.2653999924659729,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2673-CXQEU,low,0.188400000333786,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
6416-JNVRK,low,0.08309999853372574,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
5590-ZSKRV,low,0.23800000548362732,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
0191-ZHSKZ,low,0.2888000011444092,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
3887-PBQAO,low,0.03240000084042549,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
5919-TMRGD,high,0.8812999725341797,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
8108-UXRQN,low,0.2574000060558319,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9191-MYQKX,medium,0.51910001039505,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9919-YLNNG,medium,0.47760000824928284,"plan, support_tickets",Send targeted intervention before renewal risk increases. Suggested playbook: Review whether this plan tier matches the customer's actual usage pattern.,2
0318-ZOPWS,low,0.012900000438094139,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4445-ZJNMU,high,0.8348000049591064,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
4808-YNLEU,low,0.0868000015616417,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
1862-QRWPE,low,0.014399999752640724,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2796-NNUFI,low,0.011599999852478504,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3016-KSVCP,low,0.1500999927520752,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4767-HZZHQ,low,0.2685999870300293,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
2424-WVHPL,high,0.7281000018119812,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
7233-PAHHL,low,0.02160000056028366,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
6067-NGCEU,low,0.3433000147342682,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
9848-JQJTX,low,0.04769999906420708,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
8637-XJIVR,medium,0.6225000023841858,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9803-FTJCG,low,0.03799999877810478,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
0278-YXOOG,low,0.11630000174045563,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3212-KXOCR,low,0.014800000004470348,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4598-XLKNJ,high,0.7135000228881836,support_tickets,Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
6380-ARCEH,low,0.3077000081539154,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3679-XASPY,low,0.32440000772476196,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7123-WQUHX,low,0.09350000321865082,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
5386-THSLQ,low,0.07339999824762344,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3192-NQECA,low,0.19599999487400055,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
6180-YBIQI,low,0.33730000257492065,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6728-DKUCO,low,0.15790000557899475,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
9750-BOOHV,low,0.06440000236034393,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
8597-CWYHH,low,0.1492999941110611,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
2848-YXSMW,low,0.005200000014156103,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
0486-HECZI,low,0.39969998598098755,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
4549-ZDQYY,low,0.04830000177025795,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
5712-AHQNN,low,0.38260000944137573,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
4846-WHAFZ,medium,0.4699000120162964,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
5256-SKJGO,low,0.0551999993622303,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3071-VBYPO,medium,0.589900016784668,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
9560-BBZXK,low,0.037700001150369644,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
5299-RULOA,high,0.8245000243186951,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
8402-OOOHJ,low,0.012000000104308128,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
9445-ZUEQE,low,0.29840001463890076,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
1091-SOZGA,low,0.19020000100135803,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
2928-HLDBA,low,0.10540000349283218,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
0404-SWRVG,medium,0.6593999862670898,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
6497-TILVL,low,0.2459000051021576,"usage, support_tickets, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7219-TLZHO,low,0.12630000710487366,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
4622-YNKIJ,low,0.05000000074505806,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
4412-YLTKF,medium,0.4318000078201294,support_tickets,Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
6734-PSBAW,low,0.006099999882280827,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
3930-ZGWVE,low,0.3179999887943268,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2639-UGMAZ,low,0.09000000357627869,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2876-GZYZC,medium,0.6499000191688538,"support_tickets, payments",Send targeted intervention before renewal risk increases. Suggested playbook: Prioritize proactive support outreach and assign a customer success owner.,2
6207-WIOLX,low,0.13349999487400055,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
8587-XYZSF,low,0.02879999950528145,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
3091-FYHKI,medium,0.6823999881744385,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
2372-HWUHI,medium,0.4943999946117401,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
7799-LGRDP,low,0.016699999570846558,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
7850-VWJUU,low,0.2937000095844269,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
3774-VBNXY,low,0.009499999694526196,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
6217-KDYWC,low,0.013799999840557575,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
0390-DCFDQ,high,0.803600013256073,"support_tickets, payments",Contact within 48 hours. Primary playbook: Prioritize proactive support outreach and assign a customer success owner.,1
3146-MSEGF,low,0.011099999770522118,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
4080-OGPJL,low,0.1776999980211258,payments,Monitor monthly and reinforce the strongest positive behavior: payments.,3
1095-WGNGG,low,0.12300000339746475,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
2636-SJDOU,low,0.09700000286102295,support_tickets,Monitor monthly and reinforce the strongest positive behavior: support_tickets.,3
1131-QQZEB,low,0.010200000368058681,usage,Monitor monthly and reinforce the strongest positive behavior: usage.,3
5716-EZXZN,low,0.05909999832510948,"plan, support_tickets",Monitor monthly and reinforce the strongest positive behavior: plan.,3
6837-BJYDQ,low,0.03689999878406525,"usage, payments",Monitor monthly and reinforce the strongest positive behavior: usage.,3
2135-RXIHG,medium,0.6987000107765198,"usage, support_tickets, payments","Send targeted intervention before renewal risk increases. Suggested playbook: Offer onboarding, usage review, or workflow training to improve product adoption.",2
6440-DKQGE,low,0.05649999901652336,"usage, support_tickets",Monitor monthly and reinforce the strongest positive behavior: usage.,3
