feature,mean_abs_shap,mean_signed_shap,direction
numeric__usage,0.6848039031028748,-0.1888369768857956,pushes_churn_down
numeric__support_tickets,0.3090137839317322,-0.06767968833446503,pushes_churn_down
numeric__nps_score,0.30479907989501953,-0.06950307637453079,pushes_churn_down
numeric__payments,0.3004383146762848,-0.09868723154067993,pushes_churn_down
numeric__failed_payments,0.15760719776153564,-0.028950627893209457,pushes_churn_down
numeric__months_active,0.14528734982013702,-0.05515091121196747,pushes_churn_down
categorical__plan_Basic,0.13256444036960602,0.02164803259074688,pushes_churn_up
categorical__plan_Pro,0.10274959355592728,0.005936612840741873,pushes_churn_up
numeric__discount_percent,0.101846843957901,0.001831398461945355,pushes_churn_up
categorical__plan_Enterprise,0.005175294354557991,-0.00019636772049125284,pushes_churn_down
